"cma","gasemi_mean","gasemi_sd","elecemi_mean","elecemi_sd"
"Calgary",5.427617,0.53551671593518,7.18674058333333,0.955791534218863
"Charlottetown",5.370236,0.341009613033523,0.158401075,0.00950253230451805
"Edmonton",5.89263425,0.560592956115401,9.32105458333333,0.845908371879544
"Halifax",4.91965841666667,0.383735891743375,9.26719516666667,0.403852588556953
"Montr�al",NA,NA,NA,NA
"Ottawa",4.94346666666667,0.296590450742265,0.963619266666667,0.0528720123498718
"Qu�bec",5.2238846,0.264579243633358,0.05810788,0.00120289630087829
"Regina",5.21921458333333,0.315303934172168,6.57614758333333,0.221564434216595
"Saint John",6.31391975,0.312802530509738,11.5540458333333,0.258512965437408
"Saskatoon",5.27227141666667,0.365313562705062,7.66907433333333,0.458802513104858
"St. John's",4.86892125,0.324103701999873,0.397434966666667,0.00924026660687129
"Toronto",4.97041125,0.433376525736754,0.7822474,0.0698432875001665
"Vancouver",4.81525691666667,0.555787124210742,0.400078775,0.0145399683360994
"Victoria",4.411645,0.40783689655847,0.45511146,0.0092433082931744
"Whitehorse",5.55191085714286,0.313749355630376,0.437981085714286,0.0199737953032157
"Winnipeg",5.026018,0.448012722420408,0.0754039,0.0019565328689477
"Yellowknife",3.75029814285714,0.343230613595014,2.75772,0.275411519895834
